类型,大类,等级,期刊简称,期刊全称,出版社,网址
会议,计算机网络,B,MobiSys,"ACM International Conference on Mobile Systems, Applications, and Services",ACM,http://dblp.uni-trier.de/db/conf/mobisys/
会议,计算机网络,B,ICNP,IEEE International Conference on Network Protocols,IEEE,http://dblp.uni-trier.de/db/conf/icnp/
会议,计算机网络,B,MobiHoc,"International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing",IEEE/ACM,http://dblp.uni-trier.de/db/conf/mobihoc/
会议,计算机网络,B,NOSSDAV,International Workshop on Network and Operating System Support for Digital Audio and Video,ACM,http://dblp.uni-trier.de/db/conf/nossdav/
会议,计算机网络,B,IWQoS,IEEE/ACM International Workshop on Quality of Service,IEEE,http://dblp.uni-trier.de/db/conf/iwqos/
会议,计算机网络,B,IMC,ACM Internet Measurement Conference,ACM/USENIX,http://dblp.uni-trier.de/db/conf/imc/
会议,计算机网络,C,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communication Systems,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ancs/
会议,计算机网络,C,APNOMS,Asia-Pacific Network Operations and Management Symposium,IFIP/IEEE,http://dblp.uni-trier.de/db/conf/apnoms/
会议,计算机网络,C,FORTE,"International Conference on Formal Techniques for Distributed Objects, Components, and Systems",Springer,http://dblp.uni-trier.de/db/conf/forte/
会议,计算机网络,C,LCN,IEEE Conference on Local Computer Networks,IEEE,http://dblp.uni-trier.de/db/conf/lcn/
会议,计算机网络,C,GLOBECOM,IEEE Global Communications Conference,IEEE,http://dblp.uni-trier.de/db/conf/globecom/
会议,计算机网络,C,ICC,IEEE International Conference on Communications,IEEE,http://dblp.uni-trier.de/db/conf/icc/
会议,计算机网络,C,ICCCN,IEEE International Conference on Computer Communications and Networks,IEEE,http://dblp.uni-trier.de/db/conf/icccn/
会议,计算机网络,C,MASS,IEEE International Conference on Mobile Adhoc and Sensor Systems,IEEE,http://dblp.uni-trier.de/db/conf/mass/index.html
会议,计算机网络,C,P2P,IEEE International Conference on Peer-to-Peer Computing,IEEE,http://dblp.uni-trier.de/db/conf/p2p/
会议,计算机网络,C,IPCCC,IEEE International Performance Computing and Communications Conference,IEEE,http://dblp.uni-trier.de/db/conf/ipccc/
会议,计算机网络,C,WoWMoM,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",IEEE,http://dblp.uni-trier.de/db/conf/wowmom/
会议,计算机网络,C,ISCC,IEEE Symposium on Computers and Communications,IEEE,http://dblp.uni-trier.de/db/conf/iscc/
会议,计算机网络,C,WCNC,IEEE Wireless Communications and Networking Conference,IEEE,http://dblp.uni-trier.de/db/conf/wcnc/
会议,计算机网络,C,Networking,IFIP International Conferences on Networking,IFIP,http://dblp.uni-trier.de/db/conf/networking/index.html
会议,计算机网络,C,IM,IFIP/IEEE International Symposium on Integrated Network Management,IFIP/IEEE,http://dblp.uni-trier.de/db/conf/im/index.html
会议,计算机网络,C,MSN,"International Conference on Mobility, Sensing and Networking",IEEE,https://dblp.uni-trier.de/db/conf/msn/
会议,计算机网络,C,MSWiM,"International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",ACM,http://dblp.uni-trier.de/db/conf/mswim/
会议,计算机网络,C,WASA,The International Conference on Wireless Artificial Intelligent Computing Systems and Applications,Springer,http://dblp.uni-trier.de/db/conf/wasa/
会议,计算机网络,C,HotNets,ACM The Workshop on Hot Topics in Networks,ACM,http://dblp.uni-trier.de/db/conf/hotnets/
会议,计算机网络,C,APNet,Asia-Pacific Workshop on Networking,ACM,https://dblp.org/db/conf/apnet/index.html
期刊,网络与信息安全,A,TDSC,IEEE Transactions on Dependable and Secure Computing,IEEE,http://dblp.uni-trier.de/db/journals/tdsc/
期刊,网络与信息安全,A,TIFS,IEEE Transactions on Information Forensics and Security,IEEE,http://dblp.uni-trier.de/db/journals/tifs/
期刊,网络与信息安全,B,TOPS,ACM Transactions on Privacy and Security,ACM,https://dblp.org/db/journals/tissec/index.html
期刊,网络与信息安全,B,JCS,Journal of Computer Security,IOS Press,http://dblp.uni-trier.de/db/journals/jcs/
期刊,网络与信息安全,B,Cybersecurity,Cybersecurity,中国科学院信息工程研究所/科学出版社,https://dblp.uni-trier.de/db/journals/cybersec/index.html
期刊,网络与信息安全,C,CLSR,Computer Law & Security Review,Elsevier,https://dblp.org/db/journals/clsr/index.html
期刊,网络与信息安全,C,IMCS,Information and Computer Security,Emerald,http://dblp.uni-trier.de/db/journals/imcs/
期刊,网络与信息安全,C,IJICS,International Journal of Information and Computer Security,Inderscience,http://dblp.uni-trier.de/db/journals/ijics/
期刊,网络与信息安全,C,IJISP,International Journal of Information Security and Privacy,IGI Global,http://dblp.uni-trier.de/db/journals/ijisp/
期刊,网络与信息安全,C,JISA,Journal of Information Security and Applications,Elsevier,https://dblp.uni-trier.de/db/journals/istr/
期刊,网络与信息安全,C,SCN,Security and Communication Networks,Wiley,http://dblp.uni-trier.de/db/journals/scn/
会议,网络与信息安全,A,CCS,ACM Conference on Computer and Communications Security,ACM,http://dblp.uni-trier.de/db/conf/ccs/
会议,网络与信息安全,A,EUROCRYPT,International Conference on the Theory and Applications of Cryptographic Techniques,Springer,http://dblp.uni-trier.de/db/conf/eurocrypt/
会议,网络与信息安全,A,S&P,IEEE Symposium on Security and Privacy,IEEE,http://dblp.uni-trier.de/db/conf/sp/
会议,网络与信息安全,A,CRYPTO,International Cryptology Conference,Springer,http://dblp.uni-trier.de/db/conf/crypto/
会议,网络与信息安全,A,USENIX Security,USENIX Security Symposium,USENIX Association,http://dblp.uni-trier.de/db/conf/uss/
会议,网络与信息安全,A,NDSS,Network and Distributed System Security Symposium,ISOC,http://dblp.uni-trier.de/db/conf/ndss/
会议,网络与信息安全,B,ACSAC,Annual Computer Security Applications Conference,IEEE,http://dblp.uni-trier.de/db/conf/ancs/
会议,网络与信息安全,B,ASIACRYPT,Annual International Conference on the Theory and Application of Cryptology and Information Security,Springer,http://dblp.uni-trier.de/db/conf/apnoms/
会议,网络与信息安全,B,ESORICS,European Symposium on Research in Computer Security,Springer,http://dblp.uni-trier.de/db/conf/forte/
会议,网络与信息安全,B,FSE,Fast Software Encryption,Springer,http://dblp.uni-trier.de/db/conf/lcn/
